title,text,subject,date,label
"As U.S. budget fight looms, Republicans flip their fiscal script","WASHINGTON (Reuters) - The head of a conservative Republican faction in the U.S. Congress, who voted this month for a huge expansion of the national debt to pay for tax cuts, called himself a fiscal conservative on Sunday and urged budget restraint in 2018.",politicsNews,"December 31, 2017",0
"U.S. military to accept transgender recruits on Monday: Pentagon","WASHINGTON (Reuters) - Transgender people will be allowed for the first time to enlist in the U.S. military starting on Monday as ordered by federal courts, the Pentagon said on Friday, after President Donald Trump's administration decided not to appeal rulings that blocked his transgender ban.",politicsNews,"December 29, 2017",0
"Senior U.S. Republican senator: 'Let Mr. Mueller do his job'","WASHINGTON (Reuters) - The special counsel investigation of links between Russia and President Trump's 2016 election campaign should continue without interference in 2018, despite calls from some Trump administration allies and Republican lawmakers to shut it down, a prominent Republican senator said on Sunday.",politicsNews,"December 31, 2017",0
"FBI Russia probe helped by Australian diplomat tip-off: NYT","WASHINGTON (Reuters) - Trump campaign adviser George Papadopoulos told an Australian diplomat in May 2016 that Russia had political dirt on Democratic presidential candidate Hillary Clinton, the New York Times reported on Saturday.",politicsNews,"December 30, 2017",0
"New AI technology helps doctors diagnose diseases faster","Researchers at Stanford University have developed an AI system that can help doctors diagnose diseases more accurately and quickly than traditional methods. The system uses machine learning algorithms to analyze medical images and patient data.",technology,"January 15, 2023",0
"Climate change affects global weather patterns","A new report from the World Meteorological Organization shows that climate change is causing significant changes in global weather patterns across all continents. The study analyzed data from over 100 weather stations worldwide.",environment,"January 16, 2023",0
"Electric vehicle sales reach record high","Electric vehicle sales have reached a record high this quarter, with major manufacturers reporting significant increases in demand for eco-friendly transportation. The trend is expected to continue growing.",business,"January 21, 2023",0
"Breakthrough in quantum computing announced","Scientists have announced a major breakthrough in quantum computing that could revolutionize data processing and encryption methods used in modern technology. The advancement could impact cybersecurity.",technology,"January 24, 2023",0
"Scientists discover new species in Amazon rainforest","A team of biologists has discovered three new species of frogs in the Amazon rainforest, highlighting the importance of conservation efforts in the region. The discovery was made during a month-long expedition.",science,"January 19, 2023",0
"New renewable energy project approved","The city council has approved a new solar energy project that will provide clean electricity to thousands of homes and reduce carbon emissions significantly. The project is expected to be completed by next year.",environment,"January 18, 2023",0
"Donald Trump Sends Out Embarrassing New Year's Eve Message; This is Disturbing","Donald Trump just couldn t wish all Americans a Happy New Year and leave it at that. Instead, he had to give a shout out to his enemies, haters and the very dishonest fake news media.",News,"December 31, 2017",1
"Drunk Bragging Trump Staffer Started Russian Collusion Investigation","House Intelligence Committee Chairman Devin Nunes is going to have a bad day. He s been under the assumption, like many of us, that the Christopher Steele-dossier was what prompted the Russia investigation so he s been lashing out at the Department of Justice and the FBI in order to protect Trump.",News,"December 31, 2017",1
"Sheriff David Clarke Becomes An Internet Joke For Threatening To Poke People 'In The Eye'","On Friday, it was revealed that former Milwaukee Sheriff David Clarke, who was being considered for Homeland Security Secretary in Donald Trump s administration, has an email scandal of his own.",News,"December 30, 2017",1
"Trump Is So Obsessed He Even Has Obama's Name Coded Into His Website (IMAGES)","On Christmas day, Donald Trump announced that he would be back to work the following day, but he is golfing for the fourth day in a row. The former reality show star blasted former President Barack Obama for playing golf and now Trump is on track to outpace the number of golf games his predecessor played.",News,"December 29, 2017",1
"BREAKING: Scientists discover aliens living among us!","A team of researchers at Harvard University has discovered that aliens have been living among humans for decades. The shocking revelation came after years of secret investigations conducted by government agencies.",conspiracy,"January 15, 2023",1
"New study proves vaccines cause autism","A groundbreaking study published in a medical journal has finally proven what many parents suspected - vaccines are directly linked to autism in children. The research involved thousands of participants.",health,"January 16, 2023",1
"5G towers cause coronavirus","Research shows that 5G wireless towers are responsible for spreading coronavirus. The electromagnetic radiation weakens immune systems and causes the disease. Countries with more 5G towers have higher infection rates.",health,"January 22, 2023",1
"Moon landing was completely fake","New evidence has emerged proving that the 1969 moon landing was completely staged in a Hollywood studio. Former NASA employees have come forward with shocking revelations about the elaborate hoax that fooled the world for decades.",conspiracy,"January 20, 2023",1
"Flat Earth society proves Earth is flat","The Flat Earth Society has provided undeniable proof that the Earth is actually flat, not round. NASA has been lying to the public for decades about the planet's shape. Satellite images are all computer-generated.",conspiracy,"January 23, 2023",1
"Time travel machine invented by teenager","A 16-year-old genius has invented a working time travel machine in his garage. The device can transport people to any point in history and has been tested successfully. The government is trying to confiscate the technology.",science,"January 24, 2023",1